latitude,longitude,Order,Category,name,City,Address,latitude,longitude,Website,Contact,Email,Description
17.108153,48.16063,108,Psychological help,Child confidence line,Bratislava,"Na vŕšku 338/6, Bratislava",17.108153,48.16063,www.ldi.sk,116111,info@ldi.sk,"Support and protection of the rights of children and young people, provision of information, prevention and crisis intervention, remote psychological and social counseling, improvement of mental health and provision of professional consultations by specialists.

"
17.400869,48.21717,77,integration centers,Tenenet centre for children and families,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Civic organisation which provides psychological and social support
 for families, including Ukrainian children with disabilities. Tenenet centers also offer leisure activities for children and youth with disabilities."
17.400869,48.21717,77,Psychological help,Tenenet centre for children and families,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Civic organisation which provides psychological and social support  for families, including Ukrainian children with disabilities. Tenenet centers also offer leisure activities for children and youth with disabilities."
17.400869,48.21717,77,Care for Children under 7,Tenenet centre for children and families,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Civic organisation which provides psychological and social support  for families, including Ukrainian children with disabilities. Tenenet centers also offer leisure activities for children and youth with disabilities."
17.400869,48.21717,77,Free time,Tenenet centre for children and families,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Civic organisation which provides psychological and social support  for families, including Ukrainian children with disabilities. Tenenet centers also offer leisure activities for children and youth with disabilities."
17.123805,48.154864,63,Psychosocial support ,Návrat Bratislava,Bratislava,"Pluhová 1, 831 03 Bratislava",17.123805,48.154864,www.navrat.sk,421252444361,navrat@navrat.sk,Non-profit organization accompanying families in need and children in substitute care.
17.125164,48.14262,109,Free time,"UP - Down syndrom, o.z.",Bratislava,"Gercenova 1, 851 01 Bratislava",17.125164,48.14262,www.up-down.sk,421903243440,updownsyndrom@gmail.com,"We provide help and support for people with Down syndrome or other mental or physical impairments. We provide our help with education, employment opportunities, meaningful leisure (Dúhadlo theater), together we look for the ways how to engage people with Down syndrome to life in society and be accepted by society."
17.821203,48.592784,103,Financial Support,ADRA DobroCentrum,Piešťany,"Teplická 4, Piešťany",17.821203,48.592784,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421903431441,office@adra.sk,Non-governmental organisation providing material and social support for socially disadvantaged groups.
19.603575,49.080261,101,Financial Support,ADRA DobroCentrum,Liptovský Hrádok,"Liptovská Porúbka 149, 033 01 Liptovská Porúbka",19.603575,49.080261,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421903731288,office@adra.sk,Non-governmental organisation providing material and social support for socially disadvantaged groups.
18.041186,48.8964,104,Financial Support,ADRA DobroCentrum,Trenčín,"Ľudovíta Starka 1890/26, Trenčín",18.041186,48.8964,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421903759450,office@adra.sk,Non-governmental organisation providing material and social support for socially disadvantaged groups.
