latitude,longitude,Order,Category,name,City,Address,latitude,longitude,Website,Contact,Email,Description
17.108153,48.16063,108,Psychologická pomoc,Linka detskej istoty,Bratislava,"Na vŕšku 338/6, Bratislava",17.108153,48.16063,www.ldi.sk,116111,info@ldi.sk,"podpora a ochrana práv detí a mladých ľudí, poskytovania informácií, prevencie či krízovej intervencie a dištančného psychologického a sociálneho poradenstva, zlepšovanie duševného zdravia a poskytovanie odborných intervencií.

"
17.400869,48.21717,77,Integračné centrá,Tenenet Centrum pre deti a rodiny,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Občianske združenie ponúkajúce psychosociálnu podporu na mieru pre rodiny, vrátane detí odídencov so zdravotným znevýhodnením z Ukrajiny. Centrá Tenenet poskytujú taktiež voľnočasové aktivity pre deti a mládež so zdravotným znevýhodnením. "
17.400869,48.21717,77,Psychologická pomoc,Tenenet Centrum pre deti a rodiny,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Občianske združenie ponúkajúce psychosociálnu podporu na mieru pre rodiny, vrátane detí odídencov so zdravotným znevýhodnením z Ukrajiny. Centrá Tenenet poskytujú taktiež voľnočasové aktivity pre deti a mládež so zdravotným znevýhodnením."
17.400869,48.21717,77,Starostlivosť do 7 rokov,Tenenet Centrum pre deti a rodiny,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Občianske združenie ponúkajúce psychosociálnu podporu na mieru pre rodiny, vrátane detí odídencov so zdravotným znevýhodnením z Ukrajiny. Centrá Tenenet poskytujú taktiež voľnočasové aktivity pre deti a mládež so zdravotným znevýhodnením."
17.400869,48.21717,77,Voľný čas,Tenenet Centrum pre deti a rodiny,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Občianske združenie ponúkajúce psychosociálnu podporu na mieru pre rodiny, vrátane detí odídencov so zdravotným znevýhodnením z Ukrajiny. Centrá Tenenet poskytujú taktiež voľnočasové aktivity pre deti a mládež so zdravotným znevýhodnením."
17.123805,48.154864,63,Psychosociálna podpora,Návrat Bratislava,Bratislava,"Pluhová 1, 831 03 Bratislava",17.123805,48.154864,www.navrat.sk,421252444361,navrat@navrat.sk,Nezisková organizácia sprevádzajúca rodiny v núdzi a deti v náhradnej starostlivosti.
17.125164,48.14262,109,Voľný čas,"UP - Down syndrom, o.z.",Bratislava,"Gercenova 1, 851 01 Bratislava",17.125164,48.14262,www.up-down.sk,421903243440,updownsyndrom@gmail.com,"Pomáhame a poskytujeme podporu ľuďom s Downovým syndrómom alebo s iným mentálnym či telesným znevýhodnením. Snažíme sa pomáhať pri vzdelávaní, hľadaní možnosti pracovať, pri zmysluplnom využívaní voľného času (napr. Divadlo Dúhadlo), sme s nimi pri objavovaní ciest, ako sa zaradiť do spoločnosti a byť touto spoločnosťou akceptovaní."
17.821203,48.592784,103,Finančná a materiálna podpora,ADRA DobroCentrum,Piešťany,"Teplická 4, Piešťany",17.821203,48.592784,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421903431441,office@adra.sk,Mimovládna organizácia poskytujúca materiálnu a sociálnu podporu pre sociálne znevýhodnené skupiny.
19.603575,49.080261,101,Finančná a materiálna podpora,ADRA DobroCentrum,Liptovský Hrádok,"Liptovská Porúbka 149, 033 01 Liptovská Porúbka",19.603575,49.080261,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421903731288,office@adra.sk,Mimovládna organizácia poskytujúca materiálnu a sociálnu podporu pre sociálne znevýhodnené skupiny.
18.041186,48.8964,104,Finančná a materiálna podpora,ADRA DobroCentrum,Trenčín,"Ľudovíta Starka 1890/26, Trenčín",18.041186,48.8964,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421903759450,office@adra.sk,Mimovládna organizácia poskytujúca materiálnu a sociálnu podporu pre sociálne znevýhodnené skupiny.
18.746064,49.2181,17,Podľa znevýhodnenia,Asociácia nepočujúcich Slovenka,Slovakia,"Kálov 357/17, Žilina",18.746064,49.2181,www.aneps.sk ,421903762810,prezidentkaaneps@gmail.com,"Asociácia nepočujúcich Slovenka poskytuje pomoc pri tlmočení do posunkového jazyka a informačnú podporu v posunkovom jazyku. Vyjadruje solidaritu a podporu ukrajinským nepočujúcim. Pomoc zo strany ANeS spočíva vo viacerých oblastiach, ktoré sú zhrnuté a zosumarizované na podstránke: https://aneps.sk/aneps-pomaha-ukrajine-nepocujucim/ "
18.08455,48.311904,21,Podľa znevýhodnenia,Únia nevidiacich a slabozrakých Slovenska,Nitra,"Nedbalova 540/ 17, 949 11 Nitra",18.08455,48.311904,www.unss.sk ,421905469649,unss.nitra@unss.sk,"Únia nevidiacich a slabozrakých Slovenska vyjadruje solidaritu Ukrajine, vyslovuje podporu Ukrajinskej asociácii nevidiacich (The Ukrainian Association of the Blind) a podáva pomocnú ruku jej členom so zrakovým znevýhodnením, ktorí sa nachádzajú na území SR. Únia mobilizuje svoje ľudské a materiálne kapacity, aby boli schopní koordinovane a dlhodobo pomáhať."
18.732772,49.22706,26,Podľa znevýhodnenia,Únia nevidiacich a slabozrakých Slovenska,Žilina,"Karpatská 10, 010 08 Žilina",18.732772,49.22706,www.unss.sk ,421905477970,unss.zilina@unss.sk,"Únia nevidiacich a slabozrakých Slovenska vyjadruje solidaritu Ukrajine, vyslovuje podporu Ukrajinskej asociácii nevidiacich (The Ukrainian Association of the Blind) a podáva pomocnú ruku jej členom so zrakovým znevýhodnením, ktorí sa nachádzajú na území SR. Únia mobilizuje svoje ľudské a materiálne kapacity, aby boli schopní koordinovane a dlhodobo pomáhať."
18.041834,48.89206,22,Podľa znevýhodnenia,Únia nevidiacich a slabozrakých Slovenska,Trenčín,"Námestie sv. Anny č. 9, 911 01 Trenčín",18.041834,48.89206,www.unss.sk ,421905477971,unss.trencin@unss.sk,"Únia nevidiacich a slabozrakých Slovenska vyjadruje solidaritu Ukrajine, vyslovuje podporu Ukrajinskej asociácii nevidiacich (The Ukrainian Association of the Blind) a podáva pomocnú ruku jej členom so zrakovým znevýhodnením, ktorí sa nachádzajú na území SR. Únia mobilizuje svoje ľudské a materiálne kapacity, aby boli schopní koordinovane a dlhodobo pomáhať."
21.241347,48.99836,24,Podľa znevýhodnenia,Únia nevidiacich a slabozrakých Slovenska,Prešov,"Kollárova 11, 080 01 Prešov",21.241347,48.99836,www.unss.sk ,421905477974,unss.presov@unss.sk,"Únia nevidiacich a slabozrakých Slovenska vyjadruje solidaritu Ukrajine, vyslovuje podporu Ukrajinskej asociácii nevidiacich (The Ukrainian Association of the Blind) a podáva pomocnú ruku jej členom so zrakovým znevýhodnením, ktorí sa nachádzajú na území SR. Únia mobilizuje svoje ľudské a materiálne kapacity, aby boli schopní koordinovane a dlhodobo pomáhať."
19.152193,48.73498,23,Podľa znevýhodnenia,Únia nevidiacich a slabozrakých Slovenska,Banská Bystrica,"Internátna 10, 974 04 Banská Bystrica",19.152193,48.73498,www.unss.sk ,421905477975,unss.bystrica@unss.sk,"Únia nevidiacich a slabozrakých Slovenska vyjadruje solidaritu Ukrajine, vyslovuje podporu Ukrajinskej asociácii nevidiacich (The Ukrainian Association of the Blind) a podáva pomocnú ruku jej členom so zrakovým znevýhodnením, ktorí sa nachádzajú na území SR. Únia mobilizuje svoje ľudské a materiálne kapacity, aby boli schopní koordinovane a dlhodobo pomáhať. "
21.253253,48.72073,25,Podľa znevýhodnenia,Únia nevidiacich a slabozrakých Slovenska,Košice,"Park obrancov mieru 1, 040 01 Košice",21.253253,48.72073,www.unss.sk ,421905490645,unss.kosice@unss.sk,"Únia nevidiacich a slabozrakých Slovenska vyjadruje solidaritu Ukrajine, vyslovuje podporu Ukrajinskej asociácii nevidiacich (The Ukrainian Association of the Blind) a podáva pomocnú ruku jej členom so zrakovým znevýhodnením, ktorí sa nachádzajú na území SR. Únia mobilizuje svoje ľudské a materiálne kapacity, aby boli schopní koordinovane a dlhodobo pomáhať."
20.402192,49.201411,99,Finančná a materiálna podpora,ADRA DobroCentrum,"Gerlachov, Bardejov District","Hlavná 110, Gerlachov",20.402192,49.201411,https://www.adra.sk/ako-pomahame/slovensko/dobrocentra/,421905544783,office@adra.sk,Mimovládna organizácia poskytujúca materiálnu a sociálnu podporu pre sociálne znevýhodnené skupiny.
17.815051,48.428849,70,Podľa znevýhodnenia,Rehabilitačné centrum Natália,Hlohovec,"Pribinova 18, 920 01 Hlohovec",17.815051,48.428849,https://centrumnatalia.sk/,421905960856,centrum@pomocdruhemu.sk,"Komplexná a odborná starostlivosť pre deti trpiace detskou mozgovou obrnou (ambulantné terapie, rTMS terapia, Bobath koncept, TheraSuit metóda, špeciálna pedagogika)."
17.815051,48.428849,70,Zdravie a terapie,Rehabilitačné centrum Natália,Hlohovec,"Pribinova 18, 920 01 Hlohovec",17.815051,48.428849,https://centrumnatalia.sk/,421905960856,centrum@pomocdruhemu.sk,"Komplexná a odborná starostlivosť pre deti trpiace detskou mozgovou obrnou (ambulantné terapie, rTMS terapia, Bobath koncept, TheraSuit metóda, špeciálna pedagogika)."
20.293161,49.062016,59,Finančná a materiálna podpora,Dobrý anjel,Slovakia,"Karpatská 3256/15, Poprad",20.293161,49.062016,https://dobryanjel.sk/detom-z-ukrajiny/,421907152459,info@dobryanjel.sk,"Nezisková organizácia, ktorá finančne pomáha rodinám, ktorých člen trpí ťažkou chorobou alebo má zdravotné znevýhodnenie."
