latitude,longitude,Order,Category,name,City,Address,latitude,longitude,Website,Contact,Email,Description
17.400869,48.21717,77,Догляд за дітьми до 7 років,Тененет Центр для дітей та родин,Senec,"Oravská 4, Senec",17.400869,48.21717,tenenet.sk,421220201111,info@tenenet.sk,"Це громадська організація, яка надає індивідуальну психосоціальну підтримку для сімей, включаючи дітей переселенців з України з обмеженими можливостями. Центри Tenenet також надають можливості для дозвілля дітей та молоді з обмеженими можливостями."
17.147437,48.185497,62,Догляд за дітьми до 7 років,ранній догляд,Bratislava,"Tbiliská 6, 831 06 Bratislava - Rača",17.147437,48.185497,https://ranastarostlivost.sk,421908626001,info@ranastarostlivost.sk,Центр раннього втручання для сімей з дітьми з вадами зору та множинними вадами розвитку. 
20.678477,49.30344,88,Догляд за дітьми до 7 років,Тененет Центр для дітей та родин,Stará Ľubovňa,"Levočská 335/1, 064 01 Stará Ľubovňa",20.678477,49.30344,tenenet.sk,421910546002,," Це громадська організація, яка надає індивідуальну психосоціальну підтримку для сімей, включаючи дітей переселенців з України з обмеженими можливостями. Центри Tenenet також надають можливості для дозвілля дітей та молоді з обмеженими можливостями."
17.104709,48.154782,87,Догляд за дітьми до 7 років,Тененет Центр для дітей та родин,Bratislava,"Bottova 6654/7, 811 09 Bratislava",17.104709,48.154782,tenenet.sk,421911054044,info@tenenet.sk,"Це громадська організація, яка надає індивідуальну психосоціальну підтримку для сімей, включаючи дітей переселенців з України з обмеженими можливостями. Центри Tenenet також надають можливості для дозвілля дітей та молоді з обмеженими можливостями."
18.93057,49.077409,41,Догляд за дітьми до 7 років,Послуга раннього втручання,Martin,"V. P. Tótha 4, 036 01 Martin",18.93057,49.077409,https://www.cvizilina.sk/,421911952129,pracoviskomartin@cvizilina.sk,"Послуга раннього втручання – це безкоштовна соціальна послуга (відповідно до Закону № 448/2008 Зб.), яка надається дитині від народження до семи років, якщо її розвиток є ризиковим або із загрозою для здоров’я дитини та її сім’ї. Трансдисциплінарна команда (соціальний працівник, психолог, ерготерапевт, педіатр, фізіотерапевт) надає послуги дітям із затримкою розвитку або дітям з вадами розвитку. Усі послуги орієнтовані на сім’ю, надаються переважно в природному середовищі дитини та сім’ї – домашньому та інших соціальному середовищах."
18.738113,49.221835,42,Догляд за дітьми до 7 років,Послуга раннього втручання,Žilina,"Saleziánska 4, 010 77 Žilina",18.738113,49.221835,https://www.cvizilina.sk/,421911952129,pracoviskomartin@cvizilina.sk,"Послуга раннього втручання – це безкоштовна соціальна послуга (відповідно до Закону № 448/2008 Зб.), яка надається дитині від народження до семи років, якщо її розвиток є ризиковим або із загрозою для здоров’я дитини та її сім’ї. Трансдисциплінарна команда (соціальний працівник, психолог, ерготерапевт, педіатр, фізіотерапевт) надає послуги дітям із затримкою розвитку або дітям з вадами розвитку. Усі послуги орієнтовані на сім’ю, надаються переважно в природному середовищі дитини та сім’ї – домашньому та інших соціальному середовищах."
19.070175,48.690554,105,Догляд за дітьми до 7 років,АФІНА г. о.,Hnúšťa,"Klokočova 741, 98101 Hnúšťa",19.070175,48.690554,www.svihnusta.sk,421915950591,klenovicova.vihnusta@gmail.com,"Комплексна стимуляція розвитку дитини, визначення рівня розвитку дитини, надання інформації про розвиток та потреби дитини залежно від віку, типу та групи інвалідності, стимуляція розвитку у сфері рухливості, сприйняття, спілкування, адаптивної поведінки та гри; проектування альтернативних комунікаційних стратегій; адаптація до середовища; рекомендація та дизайн обладнання та іграшок з урахуванням індивідуальних потреб дитини; зміцнення сильних сторін дітей і повага до їх меж; підтримка взаємодії батьки-дитина; залучення дітей до повсякденного життя родини."
20.591662,48.94436,79,Догляд за дітьми до 7 років,Тененет Центр для дітей та родин,Spišská Nová Ves,"Štefánikovo námestie 10, Spišská Nová Ves 05201",20.591662,48.94436,https://www.spisskanovaves.eu/hladam-info/pomoc-ukrajine/stab-pomoci-ukrajincom-v-spisskej-novej-vsi-співробітників-на-допомогу-українцям,421918694136,semancakova.olga@gmail.com,"Це громадська організація, яка надає індивідуальну психосоціальну підтримку для сімей, включаючи дітей переселенців з України з обмеженими можливостями. Центри Tenenet також надають можливості для дозвілля дітей та молоді з обмеженими можливостями. "
19.675563,48.338276,106,Догляд за дітьми до 7 років, АЛЬТЕРНАТИВА – Центр незалежного життя,Lučenec,"Ul. Jókaiho 101/1, 984 01 Lučenec",19.675563,48.338276,https://alternativacentrum.sk/,421948250834,vcasnaintervencia@cvilucenec.sk,"PПідтримка сім’ї вчасно й та там, де вона цього потребує у будь-який час з моменту народження дитини з різними вадами. Відвідування родини в її буденному середовищі і при цьому, за домовленістю, родина може відвідати й нас. Ми підтримуємо розвиток дитини найкращим можливим способом, враховуючи її здібності та навички."
18.741737,49.22553,86,Догляд за дітьми до 7 років,Тененет Центр для дітей та родин,Žilina,"Štúrova 10, 010 01 Žilina",18.741737,49.22553,https://www.facebook.com/UAdomZA,421951870383,UAdomZA@gmail.com,"Це громадська організація, яка надає індивідуальну психосоціальну підтримку для сімей, включаючи дітей переселенців з України з обмеженими можливостями. Центри Tenenet також надають можливості для дозвілля дітей та молоді з обмеженими можливостями. "
